,price
12007,31999
108450,45510
79655,38900
59555,109900
55776,175000
6804,28600
6446,29900
41750,82700
52648,10900
97227,23999
113253,45900
92714,39900
69913,64000
72208,49999
75425,40000
110443,106900
95815,32900
82631,47500
77817,63799
61269,279900
1917,30900
111585,10900
32373,399900
30833,69000
102143,28000
24196,198900
8476,22950
38400,36000
80740,17600
113331,103000
18604,23999
61076,389900
52239,11900
7580,32500
89765,88300
75753,28900
46222,31500
57511,269000
79466,89050
66551,11900
77943,49000
74053,37900
23933,32900
104754,26900
101928,190990
108051,6900
22715,129900
111478,21950
13284,8300
82786,14900
18869,27700
53865,55900
20612,92000
16555,146900
71932,136900
28729,169900
17113,4900
46495,89500
37828,58900
67309,14900
46649,59900
20053,229900
97866,24950
17475,42000
71625,47000
44883,33000
77006,21900
56025,70500
69920,63400
3297,54900
42060,7500
14616,15900
39032,24700
41621,113900
19056,28800
95002,53900
88644,12900
8418,17400
99498,140800
93310,81000
42062,4900
25594,189900
45676,34900
60298,24000
93881,38900
8555,32900
76928,8900
97617,17990
69463,9500
27146,32500
14387,10500
43398,79900
34310,134900
56900,218500
28887,276000
20935,46000
92725,39900
44448,123900
7549,24800
83813,37800
26066,20900
18258,5000
94806,16900
117601,222790
2516,25900
23198,273350
108335,21999
81108,31900
26155,12900
101812,8500
101702,62000
72701,99500
82489,17900
97787,23500
67876,88900
105410,43002
51446,106900
90020,14950
14409,12500
115756,184900
50155,3300
11576,74900
77072,23500
114000,44000
76492,146692
63080,43500
44876,32900
9128,14400
16788,84900
67875,58700
108312,37900
113400,5900
117138,349900
36150,3200
50197,6000
78803,157000
87344,33000
487,16300
102159,42999
66264,21900
66372,13900
32752,111000
101692,58900
38367,108500
5453,58900
57486,48900
43315,89900
65292,19999
36183,6200
101752,15800
103796,69900
20471,265100
109279,39200
6340,23900
103381,35500
2581,28900
41906,5200
64078,32999
74709,37900
54447,95900
110288,21000
48986,40900
73935,16499
112150,17999
2557,21900
25808,76900
110124,16900
112293,54900
87165,27900
85026,62636
52104,3900
106413,24500
54242,85000
50319,15900
67660,119999
76331,116800
97114,39000
66014,6500
90463,33900
108418,33800
30815,52900
61544,49160
55376,26800
35904,36710
54835,39600
94291,102700
69108,59900
24463,385000
113292,110228
22273,86900
55460,45510
5228,47900
41157,129900
42185,6900
39213,13900
7693,24999
96736,119900
24731,19900
64374,28500
35197,170000
53156,28500
3545,65900
102297,75999
107148,39900
62030,560894
64124,45999
85033,17999
115834,204900
36396,6400
74734,44900
51136,84900
100027,69999
24568,17900
57919,137000
105866,12500
104784,56300
46448,18700
92640,41900
92973,106000
66957,21900
79061,49900
12719,31500
58338,39900
116804,187836
43784,49900
19705,149800
13081,24000
83566,6499
57476,95000
49412,44900
78932,28002
31913,29900
75386,13500
82560,33900
77621,57799
48087,18900
42743,21000
83719,22800
54216,69900
10278,54500
87691,15300
22299,135800
34813,239900
89128,25000
94838,15900
97904,63900
35536,12400
110095,21900
116178,104799
31234,529000
52514,34900
104638,73500
24715,18900
32116,109000
70230,18500
66233,23900
100404,149900
49481,27900
15014,20900
27270,29800
45319,11000
37303,24500
16167,27500
40798,169900
61221,446050
6455,23500
16425,115500
19931,197900
100911,153900
61073,281000
17340,45000
76214,2800
86485,14400
90312,48900
45717,28750
71974,9500
34590,389400
62387,55000
101342,9900
96885,70990
79142,47600
69604,139900
61334,299000
36401,10700
93388,72900
104895,58000
29504,16800
3750,65000
43472,152760
51113,74000
12599,24300
71128,26300
45756,28000
20997,125000
11045,12900
6282,21999
111497,22900
38399,38000
49468,44400
8064,27907
32493,43900
12376,39900
1390,9900
96369,112800
17700,99000
115164,17000
103742,21900
92376,51500
24863,16700
4182,4999
81901,28500
81697,27900
97735,24400
26715,29900
64477,34800
72002,5799
52777,19900
30363,73900
54486,165000
101466,50700
66331,16500
102899,31900
24480,179000
104042,38500
8409,21900
65678,39500
37489,21900
32899,149900
30108,21500
81604,94999
80323,114900
100691,85000
4289,14600
102603,42900
27771,97900
21781,193273
83744,26500
109111,62730
53688,84900
99356,95999
53450,69900
15319,16500
60813,57900
12986,35999
93770,14950
5996,49900
40234,14900
85791,10900
92488,58900
5601,56900
152,13000
50436,61999
92340,34800
5592,66800
58036,158600
66645,7500
116214,71900
5063,43500
105846,10900
107673,39900
76072,29900
50573,23500
101388,17500
30455,84700
16510,136900
107217,16900
27667,66000
89364,16900
114255,50000
74537,84300
11017,7900
47156,6800
56753,119888
13603,35900
115426,39900
11313,11500
21260,104750
69476,7900
54636,16900
17885,194900
61300,309900
5968,26900
90829,85900
8184,18500
71875,79000
110051,92900
78890,41500
79854,106900
95506,7350
30985,133900
7702,9700
11232,9900
7118,37900
32618,47700
33979,103000
28611,213100
113048,47000
90838,102400
58111,135298
30765,69900
17965,199900
104091,28900
98080,51600
40779,69900
82204,8900
116587,209000
53298,54900
60889,149900
80210,136900
96507,96290
28753,192400
56674,105000
98735,7100
16436,66990
48279,14900
82032,39900
94417,127900
116805,146500
107122,18900
86981,38900
67433,96500
38461,38130
40119,12900
112702,17700
112986,54900
96709,157248
114710,52990
25278,96900
20911,40900
105556,99900
81528,10900
42077,18500
73733,10999
32631,53900
67055,71900
38153,41900
23225,78720
34345,153900
2393,33000
85827,43900
66628,4990
84205,31900
365,4600
13817,69998
25849,234700
16020,57800
62046,800000
103315,17900
82849,59900
109071,77990
18942,19999
35899,47000
85774,9400
32964,74907
24294,84900
17861,139999
15946,64900
80002,112900
70796,33500
49685,29000
104169,27000
95297,136188
15165,25700
89235,19900
71377,16990
9584,32900
30426,54900
78202,46900
74127,74900
105276,93500
78957,56900
72862,70900
96654,59890
57416,424600
83839,26999
30625,104900
31067,199900
16910,68900
74941,36700
30181,70000
33288,272400
71135,65900
97463,106600
52194,7500
50294,14200
8561,16900
49518,42900
84582,8900
42549,33900
82068,24900
1150,8800
103964,26900
51330,114900
29418,6950
57626,22900
34700,204900
26716,18900
71519,34900
110463,106000
8286,29900
103230,12900
83615,6950
69759,61700
42117,12900
3907,51900
102926,46500
68403,11700
40375,17800
57369,357195
104792,49900
48935,24900
32155,54735
20198,249900
92325,69000
95217,10900
49731,28900
63614,8900
30785,149999
1532,11900
51438,114900
59931,66800
76533,162592
80875,92000
103065,93230
112323,61900
24292,74900
111281,82900
37400,24900
28604,199900
42665,14000
75027,12900
95399,47000
75524,35900
113218,69000
112574,16900
12325,51900
85385,56000
69932,64900
4127,4800
56906,185900
21680,227999
116782,185000
30067,17300
99511,47200
18474,48500
69817,54900
70364,18600
13077,22900
61335,239000
2510,31900
106550,73100
103853,31900
6772,55900
82481,17900
44250,199800
50955,21898
64300,49900
102740,48900
57615,12999
50709,22900
38161,69900
63903,34200
104433,27900
117370,234900
30442,71000
77296,9000
74667,44800
73889,17700
53107,31990
112158,29999
49583,62800
74255,42900
28741,376900
93775,13900
48839,43500
93004,82900
38469,67000
40735,39000
66169,14900
15233,23700
48102,10499
51307,97000
92130,48900
4319,20900
15559,39900
68313,12500
21487,188056
66807,32500
57098,235900
69524,7100
50060,181300
29860,36000
117381,126000
27572,27500
31198,415000
88437,175100
10421,52900
8251,18500
52669,43900
20602,221000
8359,29900
3873,30800
8887,74900
88353,140000
106838,5300
52465,18900
78792,124990
101510,41900
18914,17000
23340,432406
42634,32900
56307,92000
95428,58990
12302,66999
98156,84900
108675,49999
82597,38900
42215,6400
15122,18700
27928,47900
96593,93000
42389,30900
44704,57500
51091,6500
13492,22900
116709,264900
60639,45900
92138,47300
63826,10900
117397,149900
60160,25900
598,13999
16356,57000
56099,26900
29417,20900
77213,34900
33370,163000
47430,49900
1690,40500
5748,76500
18131,10500
14656,13900
4719,16500
97827,21900
84874,32000
88447,169300
62185,59900
38917,15900
69417,20900
98746,9200
27721,47950
89663,49900
37587,76700
24284,79888
80532,13900
104912,137350
112219,11900
20866,52000
65228,55000
51083,13800
76892,19900
68218,12900
105906,15250
47783,41500
74806,37900
2355,26699
115839,88900
12227,70900
23120,455140
17331,55900
38140,39200
97105,23900
83394,72900
116818,39800
106349,29000
93659,21900
88399,161400
54818,43900
31592,189900
62899,46799
116098,58900
60572,84900
8993,110900
58740,11000
91650,42900
106150,14400
63350,63000
102560,23800
58282,91100
108616,185899
106281,12900
16710,149900
56526,114000
84711,136999
64208,45700
63696,33800
41650,89000
50348,51900
58290,49999
36856,10900
72562,97900
93492,123000
77116,9300
100773,9200
97887,25900
15341,20900
6928,25900
27000,26900
54583,19900
112670,17900
96590,158208
88418,161400
93051,91900
64150,47800
12274,33999
31541,179900
27606,17900
33380,323700
83208,14900
95040,68000
12020,22000
11637,15900
42869,57900
14449,13800
7568,76900
30081,26900
108307,62900
98018,63999
114022,39900
11122,15998
22230,49900
31942,54900
49401,44900
100363,22800
103776,14900
51259,69900
109001,65999
34767,248000
87367,44900
77160,16800
91363,17900
82430,20990
16761,84900
22343,253200
61455,26000
28991,244710
49609,35000
71647,35600
26846,23900
42024,6800
752,5200
10857,52500
52089,34900
38766,19699
63924,36500
11076,5900
27094,27400
44101,174900
100129,132840
82383,20900
92964,105000
105855,11000
110620,37900
99264,54000
68844,60900
93491,72990
95005,96900
50817,29880
1320,16999
35833,119187
14004,79900
43872,52800
87573,25000
75278,13800
71874,60393
60423,27900
90468,39900
115689,169900
56592,145000
92277,47900
75229,15900
1781,29900
74040,57900
114004,43000
29323,11900
87187,52000
49064,52275
73878,21500
16065,32000
63675,16800
39508,169900
14749,17300
14131,5999
106299,18900
76666,151100
58509,17900
73574,69500
32661,136899
17722,69900
48498,18999
115811,229900
73797,12900
11057,4999
71354,13500
97041,76900
97646,59900
70543,9000
13859,84900
21411,212100
97374,127900
115578,12900
37888,87900
96305,41400
63603,17500
96886,70990
19263,79990
66565,9900
14195,6000
107172,36800
106088,11600
60039,3000
36633,12900
71188,54700
117809,169000
47758,19999
95802,20600
38358,74900
96675,123800
8414,26750
65836,98500
49495,55900
20131,204900
112563,23500
114493,27500
56218,19999
23972,134900
112972,47900
58206,8900
116981,24900
82877,41900
14591,23000
93457,89900
58294,39900
84341,23900
18789,18888
55380,21000
83324,21500
65743,147900
112445,14900
8436,15988
98427,28500
107077,35900
43339,98620
27036,18900
10644,73000
34130,58000
1569,8999
106963,9900
8677,66900
99520,54800
115077,12900
89940,34900
82206,9999
16377,55999
94365,127900
3448,60000
53860,81700
41161,88000
46307,17700
10287,50900
99634,61400
65001,28500
57561,339900
31269,193128
43162,8700
64020,37900
14680,21900
50055,64900
1281,19500
90421,21900
114217,64700
98811,26900
57793,29900
91055,88900
72730,48900
65152,34000
